source,url,title,date,institution,doc_type,language
ec,https://digital-strategy.ec.europa.eu/en/news/commission-makes-eu632-million-available-support-ai-innovation-health-and-online-safety,Commission makes €63.2 million available to support AI innovation in health and online safety,2024-01-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-pact,AI Pact,2024-01-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,High-level expert group on artificial intelligence,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ecosystem-ai-innovation-europe,Ecosystem for AI innovation in Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-ai-innovation-month,European AI Innovation Month,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/data-governance-act,European Data Governance Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/node/159/printable/pdf,Print as PDF,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai#main-content,Skip to main content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/bg/policies/regulatory-framework-ai,bgбългарски,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/es/policies/regulatory-framework-ai,esespañol,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/cs/policies/regulatory-framework-ai,csčeština,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/da/policies/regulatory-framework-ai,dadansk,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/de/policies/regulatory-framework-ai,deDeutsch,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/et/policies/regulatory-framework-ai,eteesti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/el/policies/regulatory-framework-ai,elελληνικά,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fr/policies/regulatory-framework-ai,frfrançais,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ga/policies/regulatory-framework-ai,gaGaeilge,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hr/policies/regulatory-framework-ai,hrhrvatski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/it/policies/regulatory-framework-ai,ititaliano,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lv/policies/regulatory-framework-ai,lvlatviešu,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lt/policies/regulatory-framework-ai,ltlietuvių,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hu/policies/regulatory-framework-ai,humagyar,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/mt/policies/regulatory-framework-ai,mtMalti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/nl/policies/regulatory-framework-ai,nlNederlands,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pl/policies/regulatory-framework-ai,plpolski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pt/policies/regulatory-framework-ai,ptportuguês,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ro/policies/regulatory-framework-ai,roromână,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sk/policies/regulatory-framework-ai,skslovenčina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sl/policies/regulatory-framework-ai,slslovenščina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fi/policies/regulatory-framework-ai,fisuomi,NA,European Commission,Discovered URL,EN
